Area,Google County Name,Latitude,Longitude,Northeast Bound,Southwest Bound
"Autauga, Alabama",Autauga County,32.5791817,-86.49965460000001,"(32.7082131, -86.411172)","(32.307574, -86.9212369)"
"Baldwin, Alabama",Baldwin County,30.6010744,-87.77633329999998,"(31.3190171, -87.366591)","(30.1465611, -88.0373089)"
"Bibb, Alabama",Bibb County,32.956279800000004,-87.14228949999998,"(33.246926, -86.8760228)","(32.83152210000001, -87.421989)"
"Blount, Alabama",Blount County,34.0145152,-86.49965460000001,"(34.2604829, -86.3034978)","(33.765171, -86.963358)"
"Calhoun, Alabama",Calhoun County,33.7701576,-85.80766,"(33.96846, -85.52943210000001)","(33.5559299, -86.146225)"
"Chilton, Alabama",Chilton County,32.944392,-86.6611083,"(33.07188, -86.371118)","(32.6601169, -87.0191569)"
"Colbert, Alabama",Colbert County,34.7117567,-87.89424509999998,"(34.906694, -87.415888)","(34.56623, -88.139988)"
"Elmore, Alabama",Elmore,32.5387448,-86.3149712,"(32.5658, -86.300308)","(32.5196319, -86.34779999999999)"
"Etowah, Alabama",Etowah County,34.045534100000005,-86.05296039999998,"(34.200756, -85.7371379)","(33.841598, -86.3701519)"
"Geneva, Alabama",Geneva,31.0329572,-85.86382420000001,"(31.087048, -85.839719)","(31.002001, -85.917436)"
"Hale, Alabama",Hale County,32.785910200000004,-87.61863790000001,"(33.0068241, -87.420132)","(32.4806801, -87.870502)"
"Henry, Alabama",Henry County,31.4469377,-85.18940450000001,"(31.77436389999999, -85.041305)","(31.3076751, -85.41803499999999)"
Houston CountyAlabama,Houston County,31.131868599999997,-85.31362179999998,"(31.314973, -84.9994279)","(30.99706389999999, -85.712436)"
"Jefferson, Alabama",Jefferson,32.3859585,-87.9017188,"(32.3980962, -87.8765742)","(32.3757055, -87.9199617)"
"Lauderdale, Alabama",Lauderdale County,34.8840876,-87.658113,"(35.008028, -87.210759)","(34.731901, -88.2029589)"
"Lawrence, Alabama",Lawrence County,34.567428,-87.30161319999998,"(34.8049921, -87.1050729)","(34.299096, -87.531024)"
