Area,name,id,category,location,restaurant
"Benton, Arkansas",Kum & Go,5387707a498e6b48ca80b9db,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/gas_', 'suffix': '.png'}","(34.58502951755179, -92.56795699187789)",False
"Benton, Arkansas",Buffet City,4b81d6e0f964a520aac030e3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}","(34.57997027048664, -92.57511475600026)",True
"Benton, Arkansas",Kroger,4bb8caf198c7ef3bcf683102,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}","(34.5781438, -92.5774895)",True
"Benton, Arkansas",The Home Depot,4b79958cf964a52055032fe3,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/hardware_', 'suffix': '.png'}","(34.5782226, -92.5855542)",False
"Benton, Arkansas",Eat My Catfish,4d1cca112fa36a31732df83d,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/seafood_', 'suffix': '.png'}","(34.57424828896462, -92.57795423921775)",True
"Benton, Arkansas",Kroger,56034a05498eb511c642ccf1,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/food_grocery_', 'suffix': '.png'}","(34.61042918168477, -92.53089009030147)",True
"Benton, Arkansas",La Hacienda,4cd6fd627da9a35dab7cf2b9,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/mexican_', 'suffix': '.png'}","(34.579015221974956, -92.58019038889529)",True
"Benton, Arkansas",Academy Sports + Outdoors,556082e3498e08b6bd357847,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/sports_outdoors_', 'suffix': '.png'}","(34.610354100765655, -92.53189265727997)",False
"Benton, Arkansas",Tinseltown USA,4e21e18618a88345f050be13,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/movietheater_', 'suffix': '.png'}","(34.581259421859066, -92.58463476534229)",False
"Benton, Arkansas",Salem Dairy Bar,4c9163282626a1cdc4f0316b,"{'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}","(34.62236996853609, -92.57194310877325)",True
