Area,Latitude,Longitude,Northeast Bound,Southwest Bound,county_radius
"Autauga, Alabama",32.50861333663454,-86.66794029168608,"(32.7082131, -86.411172)","(32.307574, -86.9212369)",32723.578038969175
"Baldwin, Alabama",30.731854079990217,-87.7103177013042,"(31.3190171, -87.366591)","(30.1465611, -88.0373089)",72903.25833750688
"Bibb, Alabama",33.040058388344804,-87.15089693191793,"(33.246926, -86.8760228)","(32.83152210000001, -87.421989)",34410.90621878812
"Blount, Alabama",34.01398257959025,-86.63615660696618,"(34.2604829, -86.3034978)","(33.765171, -86.963358)",41098.52818602893
"Calhoun, Alabama",33.76326819051825,-85.83992308583515,"(33.96846, -85.52943210000001)","(33.5559299, -86.146225)",36652.445970068555
"Chilton, Alabama",32.8672848291085,-86.69727475903679,"(33.07188, -86.371118)","(32.6601169, -87.0191569)",38007.15201835066
"Colbert, Alabama",34.738076003233964,-87.77970075955686,"(34.906694, -87.415888)","(34.56623, -88.139988)",38179.805179799456
"Elmore, Alabama",32.54272069240181,-86.32407372803979,"(32.5658, -86.300308)","(32.5196319, -86.34779999999999)",3395.998808885084
"Etowah, Alabama",34.022376447569876,-86.05543234668909,"(34.200756, -85.7371379)","(33.841598, -86.3701519)",35410.92354752559
"Geneva, Alabama",31.044534720408908,-85.87863989348513,"(31.087048, -85.839719)","(31.002001, -85.917436)",6001.2294442991515
"Hale, Alabama",32.74404424259348,-87.64751580867141,"(33.0068241, -87.420132)","(32.4806801, -87.870502)",36084.966803266856
"Henry, Alabama",31.541121399786565,-85.23137832793067,"(31.77436389999999, -85.041305)","(31.3076751, -85.41803499999999)",31524.94180722987
Houston CountyAlabama,31.157804489702844,-85.35761522439216,"(31.314973, -84.9994279)","(30.99706389999999, -85.712436)",38315.61800125015
"Jefferson, Alabama",32.38690715284558,-87.8982750140265,"(32.3980962, -87.8765742)","(32.3757055, -87.9199617)",2389.246096563116
"Lauderdale, Alabama",34.87303231708781,-87.70841594553872,"(35.008028, -87.210759)","(34.731901, -88.2029589)",47885.93343811781
"Lawrence, Alabama",34.55224075150536,-87.32003227698495,"(34.8049921, -87.1050729)","(34.299096, -87.531024)",34267.40056678279
"Lee, Alabama",32.579769538504245,-85.35077852517692,"(32.7465301, -85.00102)","(32.4098399, -85.6969551)",37662.751687272816
"Limestone, Alabama",34.77543367213242,-87.0330291526596,"(34.999024, -86.7835819)","(34.55079, -87.2786359)",33693.35149472873
"Lowndes, Alabama",32.184813514930795,-86.65446885477914,"(32.4066818, -86.396357)","(31.961601, -86.9085971)",34588.43829874951
"Madison, Alabama",34.71197314829121,-86.76093456174858,"(34.7612829, -86.70604980000002)","(34.6626119, -86.81563179999999)",7428.811553695632
"Mobile, Alabama",30.70207291607031,-88.08962150476017,"(30.843458, -87.9566159)","(30.560374, -88.22125290000001)",20194.477154501703
"Montgomery, Alabama",32.34419382863571,-86.24654134495322,"(32.4376769, -86.07220509999999)","(32.249921, -86.4198699)",19404.538374281583
"Morgan, Alabama",34.4962348541467,-86.83170867062064,"(34.6860369, -86.54975)","(34.3046939, -87.11019910000002)",33352.95831869263
"Russell, Alabama",32.2866907066318,-85.16365182356923,"(32.5101569, -84.888246)","(32.061708, -85.434747)",35853.39604952293
"Shelby, Alabama",33.103870476111304,-86.58481008245474,"(33.1505449, -86.533165)","(33.057147, -86.636286)",7072.724450204898
"Tuscaloosa, Alabama",33.28734392043635,-87.45332778830449,"(33.4588661, -87.2426289)","(33.114897, -87.66158890000001)",27319.280452853356
"Walker, Alabama",33.76042404437014,-87.29761769002542,"(34.00530510000001, -86.95361609999999)","(33.512929, -87.6361189)",41839.64490447116
"Barbour, Alabama",31.884283408284723,-85.40183206738702,"(32.1482509, -85.0488249)","(31.6175649, -85.74843279999999)",44373.89231936918
"Bullock, Alabama",32.0937923246707,-85.70676995181621,"(32.305289, -85.4100418)","(31.88027499999999, -85.99925789999999)",36507.52547120944
