fips2000,fips2010,fmr2,fmr0,fmr1,fmr3,fmr4,county,State,CouSub,countyname,Metro_code,Areaname,county_town_name,pop2010,state_alpha,fmr_type,metro
100199999.0,100199999,788,628,663,1084,1288,1.0,1,99999,Autauga County,METRO33860M33860,"Montgomery, AL MSA",Autauga County,54571.0,AL,40,1
100399999.0,100399999,762,494,643,1123,1318,3.0,1,99999,Baldwin County,NCNTY01003N01003,"Baldwin County, AL",Baldwin County,182265.0,AL,40,0
100599999.0,100599999,670,492,495,834,895,5.0,1,99999,Barbour County,NCNTY01005N01005,"Barbour County, AL",Barbour County,27457.0,AL,40,0
100799999.0,100799999,773,545,652,1015,1142,7.0,1,99999,Bibb County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,22915.0,AL,40,1
100999999.0,100999999,773,545,652,1015,1142,9.0,1,99999,Blount County,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,57322.0,AL,40,1
101199999.0,101199999,599,481,505,791,1061,11.0,1,99999,Bullock County,NCNTY01011N01011,"Bullock County, AL",Bullock County,10914.0,AL,40,0
101399999.0,101399999,599,453,456,870,894,13.0,1,99999,Butler County,NCNTY01013N01013,"Butler County, AL",Butler County,20947.0,AL,40,0
101599999.0,101599999,675,491,513,872,908,15.0,1,99999,Calhoun County,METRO11500M11500,"Anniston-Oxford, AL MSA",Calhoun County,118572.0,AL,40,1
101799999.0,101799999,696,511,514,867,1034,17.0,1,99999,Chambers County,NCNTY01017N01017,"Chambers County, AL",Chambers County,34215.0,AL,40,0
101999999.0,101999999,599,481,500,883,894,19.0,1,99999,Cherokee County,NCNTY01019N01019,"Cherokee County, AL",Cherokee County,25989.0,AL,40,0
102199999.0,102199999,599,423,475,802,1061,21.0,1,99999,Chilton County,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",Chilton County,43643.0,AL,40,1
102399999.0,102399999,708,520,523,882,1056,23.0,1,99999,Choctaw County,NCNTY01023N01023,"Choctaw County, AL",Choctaw County,13859.0,AL,40,0
102599999.0,102599999,599,461,464,836,891,25.0,1,99999,Clarke County,NCNTY01025N01025,"Clarke County, AL",Clarke County,25833.0,AL,40,0
102799999.0,102799999,599,445,448,803,806,27.0,1,99999,Clay County,NCNTY01027N01027,"Clay County, AL",Clay County,13932.0,AL,40,0
102999999.0,102999999,695,510,514,866,929,29.0,1,99999,Cleburne County,NCNTY01029N01029,"Cleburne County, AL",Cleburne County,14972.0,AL,40,0
103199999.0,103199999,616,477,480,835,863,31.0,1,99999,Coffee County,NCNTY01031N01031,"Coffee County, AL",Coffee County,49948.0,AL,40,0
103399999.0,103399999,609,474,477,813,816,33.0,1,99999,Colbert County,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",Colbert County,54428.0,AL,40,1
103599999.0,103599999,599,459,462,883,886,35.0,1,99999,Conecuh County,NCNTY01035N01035,"Conecuh County, AL",Conecuh County,13228.0,AL,40,0
103799999.0,103799999,599,481,505,746,801,37.0,1,99999,Coosa County,NCNTY01037N01037,"Coosa County, AL",Coosa County,11539.0,AL,40,0
103999999.0,103999999,599,460,463,866,961,39.0,1,99999,Covington County,NCNTY01039N01039,"Covington County, AL",Covington County,37765.0,AL,40,0
104199999.0,104199999,599,440,443,845,894,41.0,1,99999,Crenshaw County,NCNTY01041N01041,"Crenshaw County, AL",Crenshaw County,13906.0,AL,40,0
104399999.0,104399999,611,490,500,770,817,43.0,1,99999,Cullman County,NCNTY01043N01043,"Cullman County, AL",Cullman County,80406.0,AL,40,0
104599999.0,104599999,600,400,470,874,1050,45.0,1,99999,Dale County,NCNTY01045N01045,"Dale County, AL",Dale County,50251.0,AL,40,0
104799999.0,104799999,599,382,443,766,977,47.0,1,99999,Dallas County,NCNTY01047N01047,"Dallas County, AL",Dallas County,43820.0,AL,40,0
104999999.0,104999999,703,418,543,879,1121,49.0,1,99999,DeKalb County,NCNTY01049N01049,"DeKalb County, AL",DeKalb County,71109.0,AL,40,0
105199999.0,105199999,788,628,663,1084,1288,51.0,1,99999,Elmore County,METRO33860M33860,"Montgomery, AL MSA",Elmore County,79303.0,AL,40,1
105399999.0,105399999,599,484,505,746,870,53.0,1,99999,Escambia County,NCNTY01053N01053,"Escambia County, AL",Escambia County,38319.0,AL,40,0
